type,x_cm,y_cm,z_cm,radius_cm
Li4SiO4,-0.00370508,-0.01320508,0.17629492,0.02
Li4SiO4,-0.00370508,0.03079492,-0.09320508,0.02
Li4SiO4,-0.00370508,0.10229492,-0.17720508,0.02
Li4SiO4,-0.00370508,0.10229492,0.17529492,0.02
Li4SiO4,-0.00320508,0.03029492,0.13779492,0.02
Li4SiO4,-0.00270508,-0.08520508,0.09129492,0.02
Li4SiO4,-0.00170508,-0.20320508,-0.20320508,0.02
Li4SiO4,-0.00170508,-0.20320508,-0.14370508,0.02
Li4SiO4,-0.00170508,-0.20320508,-0.08820508,0.02
Li4SiO4,-0.00170508,-0.20320508,-0.02820508,0.02
Li4SiO4,-0.00170508,-0.20320508,0.02729492,0.02
Li4SiO4,-0.00170508,-0.20320508,0.08729492,0.02
Li4SiO4,-0.00170508,-0.20320508,0.14279492,0.02
Li4SiO4,-0.00170508,-0.20320508,0.20279492,0.02
Li4SiO4,-0.00170508,-0.14370508,-0.20320508,0.02
Li4SiO4,-0.00170508,-0.13120508,0.05779492,0.02
Li4SiO4,-0.00170508,-0.08870508,-0.20220508,0.02
Li4SiO4,-0.00170508,-0.08770508,0.20279492,0.02
Li4SiO4,-0.00170508,0.02679492,-0.20220508,0.02
Li4SiO4,-0.00170508,0.02779492,0.20279492,0.02
Li4SiO4,-0.00170508,0.09979492,0.05779492,0.02
Li4SiO4,-0.00170508,0.14229492,-0.20220508,0.02
Li4SiO4,-0.00170508,0.14329492,0.20279492,0.02
Li4SiO4,-0.00170508,0.20279492,-0.20320508,0.02
Li4SiO4,-0.00170508,0.20279492,-0.08770508,0.02
Li4SiO4,-0.00170508,0.20279492,0.02779492,0.02
Li4SiO4,-0.00170508,0.20279492,0.14329492,0.02
Li4SiO4,-0.00120508,0.09929492,-0.05870508,0.02
Li4SiO4,-0.00120508,0.20129492,-0.14270508,0.02
Li4SiO4,-0.00120508,0.20129492,-0.02720508,0.02
Li4SiO4,-0.00120508,0.20129492,0.08829492,0.02
Li4SiO4,-0.00120508,0.20229492,0.20279492,0.02
Li4SiO4,-0.00070508,-0.08620508,0.02829492,0.02
Li4SiO4,-0.00070508,0.14429492,0.14379492,0.02
Li4SiO4,-0.00070508,0.14479492,-0.08720508,0.02
Li4SiO4,-0.00070508,0.14479492,0.02829492,0.02
Li4SiO4,0.00379492,0.13979492,0.08779492,0.02
Li4SiO4,0.00479492,0.13879492,-0.14220508,0.02
Li4SiO4,0.00479492,0.13879492,-0.02670508,0.02
Li4SiO4,0.00829492,-0.00920508,-0.06920508,0.02
Li4SiO4,0.00879492,-0.09870508,-0.02770508,0.02
Li4SiO4,0.00929492,-0.00820508,0.06929492,0.02
Li4SiO4,0.01679492,-0.18070508,-0.00070508,0.02
Li4SiO4,0.01679492,-0.18070508,0.11479492,0.02
Li4SiO4,0.01779492,0.00229492,-0.14720508,0.02
Li4SiO4,0.01879492,-0.11320508,0.14579492,0.02
Li4SiO4,0.02029492,-0.00170508,0.14629492,0.02
Li4SiO4,0.02079492,-0.04270508,0.11529492,0.02
Li4SiO4,0.02079492,-0.04220508,-0.11570508,0.02
Li4SiO4,0.02079492,0.07279492,-0.00020508,0.02
Li4SiO4,0.02079492,0.07329492,-0.11570508,0.02
Li4SiO4,0.02129492,0.11079492,0.14429492,0.02
Li4SiO4,0.02229492,-0.11620508,0.08629492,0.02
Li4SiO4,0.02329492,-0.11920508,0.02829492,0.02
Li4SiO4,0.02329492,0.11179492,0.02829492,0.02
Li4SiO4,0.02379492,-0.11920508,0.20279492,0.02
Li4SiO4,0.02379492,0.11179492,-0.08770508,0.02
Li4SiO4,0.02379492,0.11179492,0.20279492,0.02
Li4SiO4,0.02479492,-0.00320508,0.20279492,0.02
Li4SiO4,0.02529492,-0.00320508,-0.20320508,0.02
Li4SiO4,0.02529492,0.11229492,-0.20320508,0.02
Li4SiO4,0.02729492,-0.20120508,-0.11620508,0.02
Li4SiO4,0.02729492,-0.11620508,-0.20020508,0.02
Li4SiO4,0.02729492,0.01029492,0.10029492,0.02
Li4SiO4,0.02779492,0.20079492,-0.11470508,0.02
Li4SiO4,0.02779492,0.20129492,0.00079492,0.02
Li4SiO4,0.02779492,0.20129492,0.11629492,0.02
Li4SiO4,0.02829492,0.00729492,-0.09970508,0.02
Li4SiO4,0.02929492,-0.08920508,0.11529492,0.02
Li4SiO4,0.02979492,0.10979492,0.09529492,0.02
Li4SiO4,0.03129492,0.10979492,-0.13420508,0.02
Li4SiO4,0.03129492,0.10979492,-0.01870508,0.02
Li4SiO4,0.03179492,-0.14270508,0.11529492,0.02
Li4SiO4,0.03429492,-0.12620508,-0.01120508,0.02
Li4SiO4,0.05179492,-0.01720508,0.11629492,0.02
Li4SiO4,0.05329492,-0.00320508,-0.12920508,0.02
Li4SiO4,0.05429492,0.12229492,0.12479492,0.02
Li4SiO4,0.05629492,-0.11570508,0.13179492,0.02
Li4SiO4,0.05729492,0.12179492,0.00929492,0.02
Li4SiO4,0.05729492,0.12279492,-0.10670508,0.02
Li4SiO4,0.06029492,-0.09770508,-0.00020508,0.02
Li4SiO4,0.06779492,-0.13420508,-0.11570508,0.02
Li4SiO4,0.06779492,-0.01870508,-0.00020508,0.02
Li4SiO4,0.06829492,0.01929492,0.11529492,0.02
Li4SiO4,0.07279492,-0.13620508,-0.00020508,0.02
Li4SiO4,0.07279492,-0.11570508,0.09479492,0.02
Li4SiO4,0.07329492,0.00029492,-0.09470508,0.02
Li4SiO4,0.07429492,-0.09470508,-0.11570508,0.02
Li4SiO4,0.07429492,0.02079492,-0.00020508,0.02
Li4SiO4,0.07729492,0.11529492,0.09279492,0.02
Li4SiO4,0.07929492,0.11529492,-0.13970508,0.02
Li4SiO4,0.07929492,0.11529492,-0.02420508,0.02
Li4SiO4,0.08429492,-0.20320508,-0.11570508,0.02
Li4SiO4,0.08429492,-0.20320508,-0.00020508,0.02
Li4SiO4,0.08429492,-0.20320508,0.11529492,0.02
Li4SiO4,0.08429492,-0.11570508,-0.20320508,0.02
Li4SiO4,0.08429492,-0.00020508,-0.20320508,0.02
Li4SiO4,0.08429492,0.11529492,-0.20320508,0.02
Li4SiO4,0.08479492,-0.11570508,0.20279492,0.02
Li4SiO4,0.08479492,-0.00020508,0.20279492,0.02
Li4SiO4,0.08479492,0.11529492,0.20279492,0.02
Li4SiO4,0.08479492,0.20279492,-0.11570508,0.02
Li4SiO4,0.08479492,0.20279492,-0.00020508,0.02
Li4SiO4,0.08479492,0.20279492,0.11529492,0.02
Li4SiO4,0.08629492,-0.00020508,0.14529492,0.02
Li4SiO4,0.08679492,-0.00020508,0.08529492,0.02
Li4SiO4,0.08729492,-0.11520508,0.03079492,0.02
Li4SiO4,0.08729492,0.11529492,0.14629492,0.02
Li4SiO4,0.08779492,-0.14670508,0.11529492,0.02
Li4SiO4,0.08779492,-0.11570508,-0.08420508,0.02
Li4SiO4,0.08779492,-0.11570508,-0.03120508,0.02
Li4SiO4,0.08779492,-0.08470508,0.11529492,0.02
Li4SiO4,0.08779492,-0.03120508,-0.11570508,0.02
Li4SiO4,0.08779492,-0.00020508,0.03129492,0.02
Li4SiO4,0.08779492,0.03129492,-0.11570508,0.02
Li4SiO4,0.08779492,0.08429492,-0.11570508,0.02
Li4SiO4,0.08779492,0.08429492,-0.00020508,0.02
Li4SiO4,0.08779492,0.08429492,0.11579492,0.02
Li4SiO4,0.08779492,0.14629492,-0.00020508,0.02
Li4SiO4,0.08779492,0.14629492,0.11579492,0.02
Li4SiO4,0.08829492,-0.11570508,-0.14720508,0.02
Li4SiO4,0.08829492,-0.00020508,-0.03170508,0.02
Li4SiO4,0.08829492,0.14679492,-0.11570508,0.02
Li4SiO4,0.08879492,-0.03270508,0.11529492,0.02
Li4SiO4,0.08879492,-0.00020508,-0.14770508,0.02
Li4SiO4,0.08879492,0.11529492,-0.08320508,0.02
Li4SiO4,0.08929492,0.11529492,0.03279492,0.02
Li4SiO4,0.09129492,-0.11570508,0.15129492,0.02
Li4SiO4,0.09379492,-0.07570508,-0.00020508,0.02
Li4SiO4,0.09629492,-0.16270508,-0.11570508,0.02
Li4SiO4,0.09879492,0.04529492,0.11329492,0.02
Li4SiO4,0.09979492,-0.16620508,-0.00220508,0.02
Li4SiO4,0.10229492,-0.11970508,0.06779492,0.02
Li4SiO4,0.10279492,-0.03720508,-0.00820508,0.02
Li4SiO4,0.10329492,-0.06770508,-0.11020508,0.02
Li4SiO4,0.10329492,-0.00570508,-0.06870508,0.02
Li4SiO4,0.10329492,0.04779492,0.00529492,0.02
Li4SiO4,0.10529492,0.12179492,-0.16970508,0.02
Li4SiO4,0.10729492,0.10629492,0.06779492,0.02
Li4SiO4,0.10879492,0.10529492,-0.04970508,0.02
Li4SiO4,0.11079492,0.01179492,0.17479492,0.02
Li4SiO4,0.11129492,-0.12520508,-0.11570508,0.02
Li4SiO4,0.11129492,-0.12520508,-0.00020508,0.02
Li4SiO4,0.11179492,-0.17720508,0.10229492,0.02
Li4SiO4,0.11179492,-0.12870508,-0.17720508,0.02
Li4SiO4,0.11179492,-0.11570508,0.10679492,0.02
Li4SiO4,0.11179492,-0.00020508,-0.10770508,0.02
Li4SiO4,0.11179492,0.10229492,0.17529492,0.02
Li4SiO4,0.11179492,0.17579492,-0.01320508,0.02
Li4SiO4,0.11179492,0.17579492,0.10229492,0.02
Li4SiO4,0.11179492,0.17629492,-0.10220508,0.02
Li4SiO4,0.11229492,-0.01370508,-0.17770508,0.02
Li4SiO4,0.11229492,0.00579492,-0.00020508,0.02
Li4SiO4,0.11229492,0.00729492,0.11529492,0.02
Li4SiO4,0.11279492,0.11529492,0.11129492,0.02
Li4SiO4,0.11329492,-0.01470508,0.05879492,0.02
Li4SiO4,0.11329492,0.11529492,-0.11820508,0.02
Li4SiO4,0.11329492,0.11529492,-0.00270508,0.02
Li4SiO4,0.11379492,-0.20320508,-0.20320508,0.02
Li4SiO4,0.11379492,-0.20320508,-0.14370508,0.02
Li4SiO4,0.11379492,-0.20320508,-0.08820508,0.02
Li4SiO4,0.11379492,-0.20320508,-0.02820508,0.02
Li4SiO4,0.11379492,-0.20320508,0.02729492,0.02
Li4SiO4,0.11379492,-0.20320508,0.14279492,0.02
Li4SiO4,0.11379492,-0.20320508,0.20279492,0.02
Li4SiO4,0.11379492,-0.13170508,0.18029492,0.02
Li4SiO4,0.11379492,-0.13120508,-0.05770508,0.02
Li4SiO4,0.11379492,-0.08870508,-0.20220508,0.02
Li4SiO4,0.11379492,-0.08770508,0.20279492,0.02
Li4SiO4,0.11379492,0.02679492,-0.20220508,0.02
Li4SiO4,0.11379492,0.05729492,-0.09970508,0.02
Li4SiO4,0.11379492,0.08729492,-0.20320508,0.02
Li4SiO4,0.11379492,0.14279492,-0.20320508,0.02
Li4SiO4,0.11379492,0.14329492,0.20279492,0.02
Li4SiO4,0.11379492,0.20279492,-0.20320508,0.02
Li4SiO4,0.11379492,0.20279492,0.02779492,0.02
Li4SiO4,0.11379492,0.20279492,0.14329492,0.02
Li4SiO4,0.11429492,-0.05920508,0.09929492,0.02
Li4SiO4,0.11429492,-0.02870508,0.20279492,0.02
Li4SiO4,0.11429492,0.20129492,-0.14270508,0.02
Li4SiO4,0.11429492,0.20229492,0.20279492,0.02
Li4SiO4,0.11529492,-0.08620508,-0.14520508,0.02
Li4SiO4,0.11529492,-0.02920508,0.14529492,0.02
Li4SiO4,0.11529492,0.08879492,-0.14820508,0.02
Li4SiO4,0.11529492,0.14129492,-0.03320508,0.02
Li4SiO4,0.11529492,0.14429492,0.14479492,0.02
Li4SiO4,0.11579492,0.02929492,-0.14470508,0.02
Li4SiO4,0.11579492,0.14529492,0.02879492,0.02
Li4SiO4,0.11679492,0.08629492,0.02729492,0.02
Li4SiO4,0.11779492,-0.08720508,0.14179492,0.02
Li4SiO4,0.11829492,-0.14370508,0.14129492,0.02
Li4SiO4,0.11829492,-0.08970508,0.02829492,0.02
Li4SiO4,0.11929492,-0.09120508,-0.02770508,0.02
Li4SiO4,0.11929492,-0.02720508,-0.14020508,0.02
Li4SiO4,0.12229492,-0.09570508,-0.08870508,0.02
Li4SiO4,0.12579492,0.07329492,0.12279492,0.02
Li4SiO4,0.12679492,0.00779492,-0.03920508,0.02
Li4SiO4,0.12729492,0.12629492,-0.08220508,0.02
Li4SiO4,0.13179492,-0.06320508,0.00129492,0.02
Li4SiO4,0.13229492,-0.18070508,-0.11620508,0.02
Li4SiO4,0.13429492,-0.02570508,0.10829492,0.02
Li4SiO4,0.13579492,0.10929492,0.14379492,0.02
Li4SiO4,0.13579492,0.14879492,-0.11920508,0.02
Li4SiO4,0.13629492,0.00379492,0.03179492,0.02
Li4SiO4,0.13729492,-0.11970508,-0.14570508,0.02
Li4SiO4,0.13829492,0.00329492,0.20279492,0.02
Li4SiO4,0.13879492,0.00329492,0.14529492,0.02
Li4SiO4,0.13879492,0.08429492,-0.11570508,0.02
Li4SiO4,0.13879492,0.14579492,0.11229492,0.02
Li4SiO4,0.13929492,-0.02370508,0.00129492,0.02
Li4SiO4,0.13929492,0.02879492,-0.11220508,0.02
Li4SiO4,0.13929492,0.11179492,0.20279492,0.02
Li4SiO4,0.13979492,0.20279492,-0.00370508,0.02
Li4SiO4,0.13979492,0.20279492,0.11179492,0.02
Li4SiO4,0.14029492,0.20279492,-0.11220508,0.02
Li4SiO4,0.14079492,-0.20320508,0.11229492,0.02
Li4SiO4,0.14079492,-0.11870508,-0.20320508,0.02
Li4SiO4,0.14079492,0.03429492,-0.00020508,0.02
Li4SiO4,0.14129492,-0.00270508,-0.20320508,0.02
Li4SiO4,0.14129492,0.14429492,-0.00220508,0.02
Li4SiO4,0.14279492,-0.20120508,-0.00070508,0.02
Li4SiO4,0.14279492,-0.11570508,0.20279492,0.02
Li4SiO4,0.14279492,0.11479492,-0.20120508,0.02
Li4SiO4,0.14279492,0.11479492,0.08479492,0.02
Li4SiO4,0.14329492,0.11629492,0.02629492,0.02
Li4SiO4,0.14379492,-0.09220508,0.11179492,0.02
Li4SiO4,0.14429492,-0.12020508,0.02229492,0.02
Li4SiO4,0.14429492,0.11629492,-0.14420508,0.02
Li4SiO4,0.14479492,-0.13820508,0.11129492,0.02
Li4SiO4,0.14579492,-0.12070508,-0.02020508,0.02
Li4SiO4,0.14629492,-0.02120508,-0.11120508,0.02
Li4SiO4,0.14879492,-0.12420508,-0.10170508,0.02
Li4SiO4,0.15079492,0.01079492,0.10479492,0.02
